台番,レート,機種名,列,行
1,p1,P大海物語5HCL,51,66
2,p1,P大海物語5HCL,50,66
3,p1,P大海物語5HCL,49,66
5,p1,P大海物語5HCL,48,66
6,p1,P大海物語5HCL,47,66
7,p1,P大海物語5HCL,46,66
8,p1,P大海物語5HCL,45,66
10,p1,P大海物語5HCL,44,66
11,p1,P大海物語5HCL,43,66
12,p1,P大海物語5HCL,42,66
13,p1,P大海物語5MTE2,41,66
15,p1,P大海物語5MTE2,40,66
16,p1,P大海物語5MTE2,39,66
17,p1,P大海物語5MTE2,38,66
18,p1,P大海物語5MTE2,37,66
20,p1,P大海物語5MTE2,36,66
21,p1,P大海物語5MTE2,35,66
22,p1,P大海物語5MTE2,34,66
23,p1,P大海物語5MTE2,33,66
25,p1,P大海物語5MTE2,32,66
26,p1,P大海物語5スペシャルALTA,32,63
27,p1,P大海物語5スペシャルALTA,33,63
28,p1,Pスーパー海物語IN沖縄6LTP,34,63
30,p1,Pスーパー海物語IN沖縄6LTP,35,63
31,p1,Pスーパー海物語IN沖縄6LTP,36,63
32,p1,Pスーパー海物語IN沖縄6LTP,37,63
33,p1,Pスーパー海物語IN沖縄6LTP,38,63
35,p1,P海物語E,39,63
36,p1,P海物語E,40,63
37,p1,P海物語E,41,63
38,p1,P海物語E,42,63
50,p1,P海物語E,43,63
51,p1,P大海物語5HCL,44,63
52,p1,P大海物語5HCL,45,63
53,p1,P大海物語5HCL,46,63
55,p1,P大海物語4スペシャルSCA,47,63
56,p1,P大海物語4スペシャルSCA,48,63
57,p1,P大海物語4スペシャルSCA,49,63
58,p1,P大海物語4スペシャルSCA,50,63
60,p1,P大海物語4スペシャルSCA,51,63
61,p4,PA花の慶次～傾奇一転N,51,62
62,新台p4,P／押忍番長漢の頂／A03,50,62
63,p4,P天才バカボン7～福神スペック～LTH－JH,49,62
65,p4,P大工の源さん超韋駄天2HLB,48,62
66,p4,Pデジハネ北斗の拳慈母SSPC,47,62
67,p4,Pルパン三世真速9YS1Y,46,62
68,p4,P真・花の慶次3N－K,45,62
70,p4,Pフィーバーマクロスフロンティア5YS,44,62
71,p4,PAフィーバーうたわれるものY,43,62
72,p4,Pルパン三世14L0YU1,42,62
73,p4,P中森明菜・歌姫伝説4KD－TJ,41,62
75,p4,P宇宙戦艦ヤマト2202 ONLY ONE YR,40,62
76,p4,PA花の慶次～裂N3-VY,39,62
77,p4,P中森明菜・歌姫伝説4KD－TJ,38,62
78,p4,PAフィーバークィーンⅡYS,37,62
80,p4,PAフィーバーパワフルR,36,62
81,p4,P遊moreLTエガブレイブAX4,35,62
82,p4,PファインプレーH3,34,62
83,p4,PファインプレーH3,33,62
85,p4,PハネモノファミリースタジアムMD,32,62
86,p4,PAわんわんセレブレーションAGBD,32,59
87,p4,PAわんわんセレブレーションAGBD,33,59
88,p4,PA清流物語4HBB,34,59
100,p4,PA清流物語4HBB,35,59
101,p4,PA野生の王国6N2,36,59
102,p4,PAコマコマ倶楽部with坂本冬美VS1,37,59
103,p4,P中森明菜・歌姫伝説愛KD－NS,38,59
105,p4,P009 RE：CYBORG N3－K,39,59
106,p4,P戦国乙女7L0YU1,40,59
107,p4,Pデジハネ北斗の拳慈母SSPC,41,59
108,p4,P花の慶次～裂N2-VC,42,59
110,p4,P新世紀エヴァンゲリオン15 未来への咆哮Y,43,59
111,p4,PAフィーバーかぐや様は告らせたいYG,44,59
112,p4,Pとある魔術の禁書目録2 Light JWX,45,59
113,新台p4,P／押忍番長漢の頂／A03,46,59
115,p4,P魔法少女まどか☆マギカ3MAJ1,47,59
116,p4,PAシン・エヴァンゲリオンY,48,59
117,p4,P北斗の拳強敵SSPA,49,59
118,p4,P北斗の拳強敵SSPA,50,59
120,p4,P北斗の拳強敵SSPA,51,59
121,p4,PAスーパー海物語IN沖縄6RBD,51,58
122,p4,PAスーパー海物語IN沖縄6RBD,50,58
